timestamp,key,f1_tariff,f2_kwh_day,f3_kwh_max_30min,f4_kwh_median_30min,f5_kwh_p90_30min,f6_kwh_stdev_30min,f7_evening_share,f8_night_share,f9_load_factor,f10_peak_half_hour_slot,f11_zero_half_hour_count
1349996400000,MAC000046,1,10.689,0.776,0.204,0.373,0.161158327462,0.318271119843,0.101225558986,0.286968427835,20,0
1349996400000,MAC000047,0,5.904,0.241,0.147,0.17,0.0501589141297,0.320291327913,0.130081300813,0.510373443983,17,0
1349996400000,MAC000048,1,3.608,0.18,0.061,0.125,0.0329085433014,0.201219512195,0.275776053215,0.417592592593,23,0
1349996400000,MAC000049,0,34.9759998,3.7809999,0.475,1.3099999,0.649127490366,0.331941902058,0.148444648607,0.192717979839,31,0
1349996400000,MAC000050,0,22.2679999,1.5599999,0.3125,1.131,0.400423563437,0.376414583153,0.0535746364899,0.29738249636,39,0
1349996400000,MAC000051,1,21.9930001,2.0050001,0.3265,1.001,0.412360471904,0.179875414087,0.104533260108,0.228522433532,27,0
1349996400000,MAC000052,1,3.538,0.195,0.064,0.116,0.04120070708,0.344262295082,0.152063312606,0.377991452991,40,0
1349996400000,MAC000053,0,8.428,0.993,0.082,0.464,0.222851485798,0.471286188894,0.1205505458,0.1768210809,46,0
1349996400000,MAC000054,0,9.484,0.644,0.1805,0.31,0.104331170105,0.344474905103,0.159848165331,0.306806418219,33,0
1349996400000,MAC000055,0,11.212,0.568,0.1925,0.375,0.124128937221,0.392793435605,0.166428826258,0.411238262911,37,0
1349996400000,MAC000056,0,7.371,0.539,0.144,0.279,0.115685800456,0.366571699905,0.0512820512821,0.284902597403,23,0
1349996400000,MAC000057,0,9.808,0.653,0.1875,0.269,0.0852326065671,0.294963295269,0.241027732463,0.312914752425,23,0
1349996400000,MAC000058,0,5.221,0.793,0.0675,0.172,0.150277692898,0.466385749856,0.0678031028539,0.137163724254,36,0
1349996400000,MAC000059,0,18.255,1.177,0.319,0.552,0.226583700158,0.35217748562,0.147685565598,0.323120220901,32,0
1349996400000,MAC000060,0,9.078,0.493,0.107,0.419,0.151561954466,0.502313284865,0.0625688477638,0.383620689655,36,0
1349996400000,MAC000061,0,4.376,0.387,0.056,0.213,0.0843060726691,0.543418647166,0.0728976234004,0.235572782084,41,0
1349996400000,MAC000062,0,9.019,0.555,0.1695,0.258,0.0739242967454,0.303359574232,0.193702184278,0.338551051051,19,0
1349996400000,MAC000064,1,10.771,0.877,0.092,0.482,0.224232927591,0.4127750441,0.251322996936,0.255867540859,10,0
1349996400000,MAC000065,1,5.767,0.79,0.0455,0.255,0.144244293588,0.586440090168,0.0534073174961,0.152083333333,39,0
1349996400000,MAC000071,1,12.402,1.618,0.0935,0.648,0.317808945818,0.471536848895,0.0766811804548,0.159687886279,13,0
1349996400000,MAC000075,1,4.936,0.449,0.0775,0.23,0.0798629903161,0.457252836305,0.182333873582,0.229027468448,39,0
1349996400000,MAC000076,1,18.5239998,2.3989999,0.284,0.689,0.378818917702,0.408011222285,0.0956596857661,0.160865643429,37,0
1349996400000,MAC000082,1,4.102,0.759,0.051,0.098,0.136387615263,0.241345685032,0.360068259386,0.11259332455,32,0
1349996400000,MAC000088,1,12.696,0.547,0.2425,0.443,0.127714362283,0.360822306238,0.123582230624,0.483546617916,32,0
1349996400000,MAC000106,1,16.897,0.881,0.3585,0.642,0.188889020501,0.316979345446,0.0969402852577,0.399569617858,18,0
1349996400000,MAC000107,1,7.936,0.551,0.1295,0.379,0.124931703565,0.297505040323,0.117439516129,0.300060496068,33,0
1349996400000,MAC000109,1,5.765,0.531,0.099,0.196,0.0840900409242,0.349349522984,0.128360797918,0.226184871312,23,0
1349996400000,MAC000124,1,11.493,0.88,0.204,0.324,0.154606746598,0.370660401984,0.17471504394,0.272088068182,35,0
1349996400000,MAC000139,1,23.3719999,1.707,0.388,0.962,0.346222158407,0.373994520683,0.0992212908575,0.285247020846,22,0
1349996400000,MAC000141,1,2.533,0.109,0.07,0.089,0.0367413479517,0.369522305567,0.388866956178,0.484136085627,11,9
1349996400000,MAC000146,1,6.621,0.704,0.1275,0.181,0.0954693245346,0.378492674823,0.149373206464,0.195933948864,35,0
1349996400000,MAC000147,1,4.192,0.193,0.08,0.131,0.0416444941005,0.340410305344,0.179866412214,0.452504317789,14,0
1349996400000,MAC000158,1,3.409,0.245,0.059,0.127,0.0443069264635,0.30888823702,0.189791727779,0.289880952381,25,0
1349996400000,MAC000165,1,7.747,0.746,0.1255,0.294,0.121985781204,0.508067639086,0.10416935588,0.216348302055,37,0
1349996400000,MAC000170,1,19.192,1.348,0.3415,0.634,0.237687674387,0.259899958316,0.232127969987,0.296612265084,16,0
1349996400000,MAC000173,1,6.241,0.451,0.1115,0.216,0.0933723481514,0.346579073866,0.123217433104,0.288294530673,20,0
1349996400000,MAC000186,1,3.01,0.49,0.0385,0.111,0.0731012307048,0.461794019934,0.137873754153,0.127976190476,37,0
1349996400000,MAC000187,1,7.556,0.793,0.077,0.353,0.158466983067,0.479221810482,0.0923769190048,0.198507776377,39,0
1349996400000,MAC000193,1,10.2940001,1.2640001,0.0975,0.392,0.264462116324,0.45628521997,0.0460462400812,0.169666391179,37,0
1349996400000,MAC000194,1,9.527,0.938,0.125,0.397,0.170748473588,0.404954340296,0.208355201008,0.211598258706,36,0
1349996400000,MAC000195,1,21.252,0.779,0.499,0.555,0.178627113937,0.249952945605,0.29907773386,0.568356867779,20,0
1349996400000,MAC000198,1,4.329,0.319,0.0575,0.193,0.0684713006333,0.382074382074,0.113883113883,0.282719435737,44,0
1349996400000,MAC000219,1,5.979,0.282,0.121,0.196,0.0499816242275,0.35825388861,0.175614651279,0.441710992908,37,0
1349996400000,MAC000236,1,3.435,0.4,0.054,0.12,0.0611524414374,0.336244541485,0.138573508006,0.17890625,26,0
1349996400000,MAC000247,1,9.881,0.742,0.1945,0.361,0.145688593351,0.44074486388,0.115575346625,0.277431491465,43,0
1349996400000,MAC000257,1,26.6840001,1.6720001,0.5015,0.737,0.233757080547,0.350996854478,0.160283315244,0.332486026018,41,0
1349996400000,MAC000259,1,9.726,0.853,0.1625,0.323,0.154353304818,0.340838988279,0.0981904174378,0.237543962485,31,0
1349996400000,MAC000261,1,6.418,0.334,0.124,0.224,0.0651165488225,0.265970707385,0.239015269554,0.400324351297,39,0
1349996400000,MAC000265,1,7.284,0.396,0.133,0.294,0.10272079877,0.451400329489,0.0820977484898,0.383207070707,40,0
1349996400000,MAC000266,1,5.993,1.024,0.0905,0.153,0.141787398004,0.264308359753,0.124979142333,0.121927897135,33,0
1349996400000,MAC000278,1,7.446,1.325,0.092,0.251,0.20088861186,0.249798549557,0.135643298415,0.117075471698,18,0
1349996400000,MAC000286,1,12.125,0.776,0.242,0.363,0.112477727348,0.282226804124,0.159422680412,0.325520833333,20,0
1349996400000,MAC000288,1,10.3419999,1.0369999,0.1235,0.464,0.229833352325,0.241442663329,0.235641067836,0.20777083127,0,0
1349996400000,MAC000290,1,6.67,0.605,0.106,0.254,0.0956638991324,0.297151424288,0.185457271364,0.229683195592,33,0
1349996400000,MAC000292,1,4.81,0.284,0.0825,0.177,0.058248375633,0.285239085239,0.107276507277,0.352846244131,26,0
1349996400000,MAC000293,1,7.819,0.631,0.1305,0.216,0.0989604802399,0.301061516818,0.187875687428,0.258155044902,29,0
1349996400000,MAC000298,1,2.345,0.109,0.0495,0.076,0.0218993812539,0.238805970149,0.23539445629,0.448203363914,24,0
1350082800000,MAC000002,0,11.087,0.933,0.18,0.275,0.190315033736,0.32849282944,0.202128619103,0.247566095034,21,0
1350082800000,MAC000003,0,14.372,1.473,0.171,0.706,0.323189304261,0.209295853048,0.403910381297,0.203269970582,2,0
1350082800000,MAC000004,0,1.728,0.215,0,0.168,0.0712229480809,0.19212962963,0.355324074074,0.167441860465,30,36
1350082800000,MAC000005,1,5.177,0.603,0.0365,0.257,0.125863350104,0.393084798146,0.186787714893,0.178862631288,11,0
1350082800000,MAC000006,0,3.275,0.342,0.053,0.108,0.0580503515577,0.440610687023,0.0989312977099,0.199500487329,34,0
1350082800000,MAC000007,0,7.846,1.002,0.134,0.257,0.146062480685,0.343614580678,0.11279632934,0.163132069195,24,0
1350082800000,MAC000008,0,16.9,0.595,0.309,0.497,0.1035472584,0.356568047337,0.215029585799,0.591736694678,42,0
1350082800000,MAC000009,0,7.867,0.61,0.152,0.25,0.111587454414,0.337358586501,0.101944832846,0.268681693989,23,0
1350082800000,MAC000010,0,27.9080001,2.1110001,0.4905,1.099,0.402712158697,0.426365201998,0.110756771855,0.275422378592,37,0
1350082800000,MAC000012,0,1.158,0.055,0.0195,0.054,0.0220705544788,0.248704663212,0.246113989637,0.438636363636,29,16
1350082800000,MAC000013,0,6.931,0.238,0.144,0.192,0.0413651119017,0.304285095946,0.273120761795,0.606705182073,37,0
1350082800000,MAC000015,1,8.398,0.407,0.138,0.351,0.0921796159529,0.445939509407,0.169683257919,0.429873054873,40,0
1350082800000,MAC000016,0,0.147,0.01,0,0.009,0.00404869449123,0.639455782313,0.0204081632653,0.30625,37,28
1350082800000,MAC000017,1,6.265,0.525,0.0905,0.241,0.0992127322103,0.464166001596,0.0988028731045,0.248611111111,36,0
1350082800000,MAC000018,0,13.604,0.758,0.295,0.451,0.161939267594,0.363201999412,0.157894736842,0.373900615655,30,0
1350082800000,MAC000019,0,4.08,0.358,0.081,0.135,0.053286959005,0.276715686275,0.180147058824,0.237430167598,15,0
1350082800000,MAC000020,0,3.649,0.211,0.067,0.11,0.031193942777,0.211016716909,0.187448616059,0.360288309637,13,0
1350082800000,MAC000021,0,18.097,0.49,0.3775,0.423,0.041823283778,0.253356909985,0.253743714428,0.769430272109,35,0
1350082800000,MAC000022,0,8.71,0.86,0.1535,0.346,0.168714497294,0.518599311137,0.126636050517,0.210998062016,38,0
1350082800000,MAC000023,0,16.1820001,1.354,0.2525,0.673,0.29661771874,0.406871836566,0.0598195522196,0.248984491937,37,0
1350082800000,MAC000024,0,11.311,1.67,0.1485,0.602,0.293465961228,0.316064008487,0.192113871453,0.141105289421,24,0
1350082800000,MAC000025,0,4.4679999,1.2869999,0.027,0.122,0.251268756675,0.0828111030173,0.0380483446296,0.0723258263268,30,0
1350082800000,MAC000026,0,9.325,0.654,0.153,0.312,0.0994764921106,0.209115281501,0.207077747989,0.297050203874,16,0
1350082800000,MAC000027,0,9.89,0.685,0.1805,0.288,0.107203458886,0.254903943377,0.189585439838,0.300790754258,28,0
1350082800000,MAC000028,0,5.674,0.25,0.1,0.181,0.0442191315747,0.357772294677,0.190341910469,0.472833333333,38,0
1350082800000,MAC000029,0,2.03,0.081,0.047,0.053,0.0192580700977,0.199014778325,0.326600985222,0.522119341564,1,5
1350082800000,MAC000030,0,20.13,2.3050001,0.136,1.173,0.525160837649,0.509836065574,0.0680576254347,0.181941423777,40,0
1350082800000,MAC000031,1,18.59,1.443,0.2805,0.78,0.311736932253,0.296664873588,0.0764389456697,0.268393393393,32,0
1350082800000,MAC000032,0,6.857,0.577,0.1235,0.269,0.114016444279,0.273005687618,0.172524427592,0.247580878105,14,0
1350082800000,MAC000033,0,6.048,0.296,0.12,0.208,0.0636955649947,0.368551587302,0.166335978836,0.425675675676,30,0
1350082800000,MAC000034,0,5.565,0.267,0.112,0.196,0.0617604263296,0.407726864331,0.142857142857,0.434222846442,21,0
1350082800000,MAC000035,0,21.3049999,1.355,0.374,0.881,0.281093098706,0.354517715816,0.118375968638,0.327567649139,22,0
1350082800000,MAC000036,0,3.236,0.244,0.0495,0.16,0.0607830271448,0.252472187886,0.0763288009889,0.276297814208,39,3
1350082800000,MAC000037,0,0,0,0,0,0,0,0,0,0,48
