LCLid,stdorToU,timestamp,KWH_day,KWH_max_30min,KWH_median_30min
MAC000004,Std,1350428400000,1.59,0.197,0
MAC000006,Std,1350428400000,3.059,0.178,0.0555
MAC000007,Std,1350428400000,9.654,1.349,0.113
MAC000008,Std,1350428400000,20.436,1.252,0.3795
MAC000009,Std,1350428400000,8.115,0.565,0.1505
MAC000010,Std,1350428400000,28.3560001,1.464,0.464
MAC000012,Std,1350428400000,1.123,0.054,0.018
MAC000013,Std,1350428400000,5.841,0.292,0.106
MAC000016,Std,1350428400000,0.147,0.01,0
MAC000018,Std,1350428400000,14.066,0.739,0.205
MAC000019,Std,1350428400000,3.579,0.153,0.0755
MAC000020,Std,1350428400000,7.829,0.658,0.106
MAC000021,Std,1350428400000,37.9449996,2.233,0.467
MAC000022,Std,1350428400000,10.729,0.945,0.1995
MAC000023,Std,1350428400000,16.3370001,1.4960001,0.222
MAC000024,Std,1350428400000,18.0089999,2.5539999,0.197
MAC000025,Std,1350428400000,4.129,1.594,0.029
MAC000026,Std,1350428400000,16.437,1.226,0.243
MAC000027,Std,1350428400000,7.739,0.522,0.126
MAC000028,Std,1350428400000,5.918,0.523,0.1015
MAC000029,Std,1350428400000,6.5660001,1.2180001,0.047
MAC000030,Std,1350428400000,7.703,1.012,0.143
MAC000032,Std,1350428400000,5.498,1.33,0.0475
MAC000033,Std,1350428400000,8.799,0.695,0.157
MAC000034,Std,1350428400000,5.64,0.241,0.1095
MAC000035,Std,1350428400000,19.026,1.308,0.3825
MAC000036,Std,1350428400000,3.19,0.231,0.06
MAC000037,Std,1350428400000,0,0,0
MAC000038,Std,1350428400000,8.717,1.39,0.135
MAC000039,Std,1350428400000,8.84,0.929,0.127
MAC000040,Std,1350428400000,14.114,0.604,0.274
MAC000041,Std,1350428400000,10.195,0.857,0.123
MAC000042,Std,1350428400000,11.436,0.816,0.168
MAC000043,Std,1350428400000,4.053,0.354,0.066
MAC000045,Std,1350428400000,17.061,1.7410001,0.2435
MAC000047,Std,1350428400000,5.193,0.253,0.085
MAC000049,Std,1350428400000,28.0379999,2.4189999,0.3325
MAC000050,Std,1350428400000,25.2060001,2.325,0.203
MAC000053,Std,1350428400000,8.491,1.348,0.0775
MAC000054,Std,1350428400000,8.32,0.481,0.1345
MAC000055,Std,1350428400000,12.433,0.557,0.247
MAC000056,Std,1350428400000,7.141,1.408,0.1365
MAC000057,Std,1350428400000,12.19,1.108,0.235
MAC000058,Std,1350428400000,3.322,0.25,0.0665
MAC000059,Std,1350428400000,16.644,0.885,0.388
MAC000060,Std,1350428400000,4.581,0.283,0.0505
MAC000061,Std,1350428400000,4.586,0.329,0.0605
MAC000062,Std,1350428400000,9.623,0.424,0.1875
MAC000063,Std,1350428400000,16.095,1.495,0.258
MAC000066,Std,1350428400000,7.893,0.362,0.15
MAC000067,Std,1350428400000,6.602,0.273,0.1285
MAC000068,Std,1350428400000,19.764,1.272,0.3485
MAC000069,Std,1350428400000,7.603,0.309,0.151
MAC000326,Std,1350428400000,21.972,1.801,0.384
MAC000327,Std,1350428400000,11.8369999,1.2589999,0.16
MAC000329,Std,1350428400000,10.306,0.656,0.193
MAC000330,Std,1350428400000,5.692,0.263,0.1115
MAC000331,Std,1350428400000,17.4659999,2.7579999,0.1085
MAC000332,Std,1350428400000,6.502,0.357,0.115
MAC000333,Std,1350428400000,4.993,0.429,0.0705
MAC000334,Std,1350428400000,5.503,0.759,0.0895
MAC000335,Std,1350428400000,8.424,0.676,0.114
MAC000337,Std,1350428400000,2.647,0.128,0.0505
MAC000338,Std,1350428400000,13.721,1.271,0.2765
MAC000340,Std,1350428400000,6.299,0.384,0.1095
MAC000341,Std,1350428400000,9.848,0.655,0.184
MAC000343,Std,1350428400000,6.1,0.651,0.101
MAC000345,Std,1350428400000,15.56,1.316,0.184
MAC000346,Std,1350428400000,11.273,0.837,0.173
MAC000347,Std,1350428400000,6.176,0.288,0.103
MAC000348,Std,1350428400000,5.489,0.423,0.099
MAC000349,Std,1350428400000,8.255,1.382,0.0925
MAC000350,Std,1350428400000,10.1590001,1.1160001,0.148
MAC000351,Std,1350428400000,8.7789998,1.1569999,0.083
MAC000353,Std,1350428400000,7.293,0.972,0.0875
MAC000355,Std,1350428400000,5.54,0.276,0.1105
MAC000356,Std,1350428400000,9.341,0.798,0.0865
MAC000357,Std,1350428400000,8.279,0.457,0.106
MAC000358,Std,1350428400000,39.97,2.323,0.6405
MAC000359,Std,1350428400000,21.9770002,2.0780001,0.151
MAC000360,Std,1350428400000,10.76,0.968,0.1125
MAC000361,Std,1350428400000,9.555,1.251,0.0655
MAC000362,Std,1350428400000,4.799,0.859,0.071
MAC000363,Std,1350428400000,3.164,0.751,0.039
MAC004268,Std,1350428400000,5.855,0.577,0.0785
MAC004269,Std,1350428400000,10.316,0.53,0.185
MAC004271,Std,1350428400000,17.304,0.918,0.3675
MAC004272,Std,1350428400000,6.711,0.984,0.077
MAC004273,Std,1350428400000,5.554,0.355,0.0735
MAC004274,Std,1350428400000,3.852,0.256,0.0625
MAC004275,Std,1350428400000,11.929,1.075,0.1635
MAC004276,Std,1350428400000,18.4050001,1.437,0.2845
MAC004277,Std,1350428400000,9.278,0.782,0.1415
MAC004278,Std,1350428400000,11.378,0.949,0.141
MAC004279,Std,1350428400000,9.628,0.906,0.146
MAC004280,Std,1350428400000,30.574,1.902,0.5905
MAC004281,Std,1350428400000,6.946,0.768,0.126
MAC000002,Std,1350514800000,10.751,0.897,0.166
MAC000003,Std,1350514800000,20.815,2.177,0.244
MAC000004,Std,1350514800000,1.895,0.265,0
MAC000006,Std,1350514800000,3.042,0.202,0.055
MAC000007,Std,1350514800000,6.47,1.054,0.0875
MAC000008,Std,1350514800000,19.368,0.679,0.3895
MAC000009,Std,1350514800000,9.234,1.402,0.1515
MAC000010,Std,1350514800000,25.574,1.891,0.499
MAC000012,Std,1350514800000,1.16,0.054,0.0185
MAC000013,Std,1350514800000,5.759,0.325,0.112
MAC000016,Std,1350514800000,0.147,0.01,0
MAC000018,Std,1350514800000,9.962,0.504,0.1485
MAC000019,Std,1350514800000,3.529,0.146,0.075
MAC000020,Std,1350514800000,5.286,0.361,0.075
MAC000021,Std,1350514800000,18.977,0.608,0.376
MAC000022,Std,1350514800000,9.817,0.409,0.1815
MAC000023,Std,1350514800000,19.38,1.235,0.2855
MAC000024,Std,1350514800000,13.0249999,2.0799999,0.129
MAC000025,Std,1350514800000,4.6339999,1.5319999,0.0285
MAC000026,Std,1350514800000,15.678,0.943,0.223
MAC000027,Std,1350514800000,8.048,0.399,0.131
MAC000028,Std,1350514800000,5.177,0.205,0.097
MAC000029,Std,1350514800000,6.3870001,1.8940001,0.0535
MAC000030,Std,1350514800000,9.408,1.255,0.1185
MAC000032,Std,1350514800000,4.398,0.757,0.0555
MAC000033,Std,1350514800000,6.718,0.284,0.1405
MAC000034,Std,1350514800000,5.932,0.24,0.1235
MAC000035,Std,1350514800000,26.7369999,1.604,0.45
MAC000036,Std,1350514800000,2.747,0.221,0.045
MAC000037,Std,1350514800000,0.779,0.779,0
MAC000038,Std,1350514800000,11.7779999,1.0829999,0.1695
MAC000039,Std,1350514800000,12.758,1.617,0.1465
MAC000040,Std,1350514800000,18.8729999,1.0829999,0.3655
MAC000041,Std,1350514800000,6.651,0.448,0.106
MAC000042,Std,1350514800000,8.911,0.58,0.153
MAC000043,Std,1350514800000,3.114,0.161,0.0505
MAC000045,Std,1350514800000,14.621,1.674,0.1665
MAC000047,Std,1350514800000,4.942,0.246,0.0755
MAC000049,Std,1350514800000,30.1719999,4.2280002,0.3575
MAC000050,Std,1350514800000,29.221,2.9979999,0.322
MAC000053,Std,1350514800000,6.089,0.858,0.074
MAC000054,Std,1350514800000,8.26,0.345,0.166
MAC000055,Std,1350514800000,7.276,0.678,0.135
MAC000056,Std,1350514800000,5.941,0.389,0.084
MAC000057,Std,1350514800000,9.87,0.447,0.1875
MAC000058,Std,1350514800000,3.209,0.275,0.054
MAC000059,Std,1350514800000,16.885,0.975,0.3325
MAC000060,Std,1350514800000,4.557,0.284,0.05
MAC000061,Std,1350514800000,4.349,0.287,0.0645
MAC000062,Std,1350514800000,10.516,0.687,0.1785
MAC000063,Std,1350514800000,14.241,0.812,0.267
MAC000066,Std,1350514800000,5.756,0.341,0.1295
MAC000067,Std,1350514800000,6.656,0.377,0.1205
MAC000068,Std,1350514800000,20.097,1.332,0.329
MAC000069,Std,1350514800000,6.498,0.324,0.134
MAC000326,Std,1350514800000,16.119,1.327,0.2285
MAC000327,Std,1350514800000,21.8370001,1.396,0.281
MAC000329,Std,1350514800000,10.847,0.784,0.177
MAC000330,Std,1350514800000,5.878,0.272,0.1215
MAC000331,Std,1350514800000,16.6949999,2.7509999,0.1205
MAC000332,Std,1350514800000,12.051,0.809,0.207
MAC000333,Std,1350514800000,4.506,0.435,0.065
MAC000334,Std,1350514800000,4.967,0.382,0.0875
MAC000335,Std,1350514800000,6.135,0.427,0.0875
MAC000337,Std,1350514800000,2.693,0.186,0.047
MAC000338,Std,1350514800000,15.4510001,1.0420001,0.287
MAC000340,Std,1350514800000,9.682,0.805,0.144
MAC000341,Std,1350514800000,10.544,0.624,0.1865
MAC000343,Std,1350514800000,4.97,0.273,0.098
MAC000345,Std,1350514800000,10.635,0.955,0.125
MAC000346,Std,1350514800000,11.635,0.732,0.1515
MAC000347,Std,1350514800000,5.897,0.605,0.0805
MAC000348,Std,1350514800000,4.012,0.216,0.051
MAC000349,Std,1350514800000,4.784,0.474,0.0855
MAC000350,Std,1350514800000,7.515,1.177,0.134
MAC000351,Std,1350514800000,7.282,0.769,0.072
MAC000353,Std,1350514800000,7.395,0.754,0.089
MAC000355,Std,1350514800000,9.252,0.767,0.1295
MAC000356,Std,1350514800000,15.4590002,1.4680001,0.1105
MAC000357,Std,1350514800000,12.106,1.351,0.18
MAC000358,Std,1350514800000,38.4910004,2.3900001,0.5955
MAC000359,Std,1350514800000,13.244,1.399,0.158
MAC000360,Std,1350514800000,10.692,0.807,0.119
MAC000361,Std,1350514800000,6.0840001,1.0880001,0.061
MAC000362,Std,1350514800000,4.123,0.189,0.0685
MAC000363,Std,1350514800000,3.233,0.82,0.0515
MAC004268,Std,1350514800000,3.859,0.362,0.0715
MAC004269,Std,1350514800000,9.533,0.416,0.187
MAC004271,Std,1350514800000,11.123,0.779,0.163
MAC004272,Std,1350514800000,7.904,0.722,0.129
MAC004273,Std,1350514800000,5.389,0.438,0.072
MAC004274,Std,1350514800000,4.312,0.276,0.0665
MAC004275,Std,1350514800000,11.795,1.336,0.162
MAC004276,Std,1350514800000,17.6419999,1.2869999,0.279
MAC004277,Std,1350514800000,10.934,0.465,0.232
MAC004278,Std,1350514800000,8.234,0.769,0.108
MAC004279,Std,1350514800000,6.682,0.763,0.124
MAC004280,Std,1350514800000,26.307,1.9299999,0.4135
MAC004281,Std,1350514800000,5.612,0.279,0.105
MAC000002,Std,1350601200000,8.431,0.822,0.134
MAC000003,Std,1350601200000,23.5130002,2.194,0.233
MAC000004,Std,1350601200000,1.597,0.253,0
MAC000006,Std,1350601200000,2.795,0.18,0.0465
MAC000007,Std,1350601200000,10.355,1.021,0.127
MAC000008,Std,1350601200000,17.432,0.854,0.306
MAC000009,Std,1350601200000,9.081,0.911,0.1795
MAC000010,Std,1350601200000,25.663,1.601,0.5235
MAC000012,Std,1350601200000,1.178,0.055,0.019
MAC000013,Std,1350601200000,5.43,0.246,0.107
MAC000016,Std,1350601200000,0.145,0.01,0
MAC000018,Std,1350601200000,7.042,0.397,0.128
MAC000019,Std,1350601200000,3.514,0.126,0.077
MAC000020,Std,1350601200000,9.275,1.062,0.12
MAC000021,Std,1350601200000,22.199,0.961,0.378
MAC000022,Std,1350601200000,9.621,0.369,0.1825
MAC000023,Std,1350601200000,13.307,1.105,0.166
MAC000024,Std,1350601200000,19.618,1.443,0.194
MAC000025,Std,1350601200000,3.898,0.781,0.0265
MAC000026,Std,1350601200000,11.881,1.289,0.175
MAC000027,Std,1350601200000,8.326,0.684,0.147
MAC000028,Std,1350601200000,6.735,0.529,0.114
MAC000029,Std,1350601200000,3.843,0.582,0.0565
MAC000030,Std,1350601200000,20.8870001,1.869,0.199
MAC000032,Std,1350601200000,5.776,1.198,0.056
MAC000033,Std,1350601200000,5.877,0.39,0.0895
MAC000034,Std,1350601200000,7.179,0.316,0.1335
MAC000035,Std,1350601200000,17.207,0.698,0.3275
MAC000036,Std,1350601200000,2.525,0.263,0.044
MAC000037,Std,1350601200000,0,0,0
MAC000038,Std,1350601200000,9.811,0.88,0.158
MAC000039,Std,1350601200000,12.288,1.112,0.178
MAC000040,Std,1350601200000,17.786,0.613,0.3915
MAC000041,Std,1350601200000,6.982,0.608,0.06
MAC000042,Std,1350601200000,10.6599999,1.3049999,0.166
MAC000043,Std,1350601200000,3.306,0.167,0.0515
MAC000045,Std,1350601200000,16.276,1.675,0.216
MAC000047,Std,1350601200000,5.663,0.191,0.1145
MAC000049,Std,1350601200000,38.8680002,4.369,0.4545
MAC000050,Std,1350601200000,21.479,1.507,0.2965
MAC000053,Std,1350601200000,5.86,0.518,0.0765
MAC000054,Std,1350601200000,10.255,0.971,0.164
MAC000055,Std,1350601200000,14.1990001,1.67,0.1485
MAC000056,Std,1350601200000,7.6220001,1.0190001,0.1105
MAC000057,Std,1350601200000,11.011,0.857,0.172
MAC000058,Std,1350601200000,5.852,0.734,0.07
MAC000059,Std,1350601200000,18.056,1.484,0.3835
MAC000060,Std,1350601200000,10.322,1.077,0.0505
MAC000061,Std,1350601200000,4.759,0.255,0.0575
MAC000062,Std,1350601200000,9.555,0.402,0.185
MAC000063,Std,1350601200000,21.8,1.3789999,0.383
MAC000066,Std,1350601200000,2.488,0.07,0.053
MAC000067,Std,1350601200000,7.729,0.472,0.1055
MAC000068,Std,1350601200000,18.5899999,1.324,0.3065
MAC000069,Std,1350601200000,9.618,0.33,0.201
MAC000326,Std,1350601200000,12.307,0.629,0.26
MAC000327,Std,1350601200000,7.669,0.562,0.122
MAC000329,Std,1350601200000,9.957,0.776,0.1785
MAC000330,Std,1350601200000,6.406,0.273,0.1205
MAC000331,Std,1350601200000,15.7210001,2.7780001,0.125
MAC000332,Std,1350601200000,9.147,0.741,0.1585
MAC000333,Std,1350601200000,4.943,0.451,0.068
MAC000334,Std,1350601200000,4.371,0.186,0.089
MAC000335,Std,1350601200000,8.639,0.457,0.1655
MAC000337,Std,1350601200000,3.04,0.177,0.056
MAC000338,Std,1350601200000,14.154,1.197,0.264
MAC000340,Std,1350601200000,8.524,0.846,0.1395
MAC000341,Std,1350601200000,12.065,0.574,0.249
MAC000343,Std,1350601200000,7.837,0.554,0.1165
MAC000345,Std,1350601200000,9.616,1.256,0.1185
MAC000346,Std,1350601200000,10.39,1.044,0.1985
MAC000347,Std,1350601200000,7.922,0.781,0.1355
MAC000348,Std,1350601200000,5.589,0.285,0.1165
MAC000349,Std,1350601200000,6.244,1.148,0.0885
MAC000350,Std,1350601200000,9.441,1.293,0.1405
MAC000351,Std,1350601200000,4.84,0.711,0.0685
MAC000353,Std,1350601200000,7.082,0.404,0.11
MAC000355,Std,1350601200000,6.327,0.317,0.117
MAC000356,Std,1350601200000,7.018,0.692,0.0895
MAC000357,Std,1350601200000,15.198,1.395,0.2645
MAC000358,Std,1350601200000,47.2699995,2.201,0.9365
MAC000359,Std,1350601200000,10.526,0.625,0.1505
MAC000360,Std,1350601200000,8.634,0.57,0.111
MAC000361,Std,1350601200000,6.697,1.003,0.056
MAC000362,Std,1350601200000,3.91,0.193,0.0705
MAC000363,Std,1350601200000,3.252,0.564,0.038
MAC004268,Std,1350601200000,3.552,0.315,0.057
MAC004269,Std,1350601200000,12.352,0.735,0.2435
MAC004271,Std,1350601200000,14.475,0.713,0.3185
MAC004272,Std,1350601200000,7.035,0.469,0.0765
MAC004273,Std,1350601200000,4.364,0.779,0.071
MAC004274,Std,1350601200000,4.931,0.275,0.072
MAC004275,Std,1350601200000,12.94,1.018,0.197
MAC004276,Std,1350601200000,14.002,1.323,0.2435
MAC004277,Std,1350601200000,10.057,0.841,0.1475
MAC004278,Std,1350601200000,9.678,0.917,0.1215
MAC004279,Std,1350601200000,6.999,0.656,0.1105
MAC004280,Std,1350601200000,34.9060001,2.747,0.521
MAC004281,Std,1350601200000,5.489,0.395,0.0725
MAC000002,Std,1350687600000,17.5779999,1.4529999,0.229
MAC000003,Std,1350687600000,21.6670005,2.2030001,0.229
MAC000004,Std,1350687600000,1.613,0.206,0
MAC000006,Std,1350687600000,3.138,0.185,0.056
MAC000007,Std,1350687600000,11.597,1.171,0.16
MAC000008,Std,1350687600000,18.657,0.901,0.29
MAC000009,Std,1350687600000,7.242,0.518,0.136
MAC000010,Std,1350687600000,28.4059999,1.612,0.468
MAC000012,Std,1350687600000,1.209,0.055,0.028
MAC000013,Std,1350687600000,5.156,0.196,0.114
MAC000016,Std,1350687600000,0.148,0.01,0
MAC000018,Std,1350687600000,11.95,0.696,0.161
MAC000019,Std,1350687600000,3.644,0.134,0.078
MAC000020,Std,1350687600000,5.474,0.589,0.078
MAC000021,Std,1350687600000,17.041,0.485,0.354
MAC000022,Std,1350687600000,10.581,0.598,0.182
MAC000023,Std,1350687600000,16.733,1.6799999,0.254
MAC000024,Std,1350687600000,15.576,1.368,0.17
MAC000025,Std,1350687600000,4.456,1.296,0.027
MAC000026,Std,1350687600000,7.743,0.217,0.146
MAC000027,Std,1350687600000,12.829,0.662,0.242
MAC000028,Std,1350687600000,5.844,0.215,0.115
MAC000029,Std,1350687600000,5.555,1.734,0.056
MAC000030,Std,1350687600000,23.8990002,1.5190001,0.265
MAC000032,Std,1350687600000,7.929,0.933,0.08
MAC000033,Std,1350687600000,8.151,0.729,0.116
MAC000034,Std,1350687600000,5.536,0.406,0.087
MAC000035,Std,1350687600000,16.525,0.877,0.297
MAC000036,Std,1350687600000,2.812,0.241,0.043
MAC000037,Std,1350687600000,0,0,0
MAC000038,Std,1350687600000,7.819,0.529,0.129
MAC000039,Std,1350687600000,7.214,0.685,0.1
MAC000040,Std,1350687600000,17.023,0.936,0.309
MAC000041,Std,1350687600000,8.253,0.749,0.111
MAC000042,Std,1350687600000,12.727,0.834,0.146
MAC000043,Std,1350687600000,3.65,0.204,0.05
MAC000045,Std,1350687600000,24.685,1.638,0.337
MAC000047,Std,1350687600000,6.029,0.236,0.145
MAC000049,Std,1350687600000,43.5549999,3.391,0.635
MAC000050,Std,1350687600000,24.756,1.756,0.249
MAC000053,Std,1350687600000,4.215,0.195,0.07
MAC000054,Std,1350687600000,7.933,0.453,0.131
MAC000055,Std,1350687600000,18.147,1.272,0.28
MAC000056,Std,1350687600000,7.366,0.418,0.154
MAC000057,Std,1350687600000,17.432,1.189,0.245
MAC000058,Std,1350687600000,2.938,0.171,0.05
MAC000059,Std,1350687600000,20.412,1.054,0.404
MAC000060,Std,1350687600000,10.694,0.75,0.2
MAC000061,Std,1350687600000,8.842,0.489,0.225
MAC000062,Std,1350687600000,11.271,0.688,0.211
MAC000063,Std,1350687600000,9.374,0.811,0.129
MAC000066,Std,1350687600000,2.472,0.067,0.049
MAC000067,Std,1350687600000,10.253,0.569,0.215
MAC000068,Std,1350687600000,18.952,0.947,0.393
MAC000069,Std,1350687600000,7.131,0.29,0.138
MAC000326,Std,1350687600000,3.905,0.305,0.068
MAC000327,Std,1350687600000,15.11,1.103,0.223
MAC000329,Std,1350687600000,12.134,0.857,0.256
MAC000330,Std,1350687600000,5.999,0.436,0.114
MAC000331,Std,1350687600000,18.0510001,2.767,0.11
MAC000332,Std,1350687600000,10.855,0.781,0.154
MAC000333,Std,1350687600000,4.371,0.297,0.066
MAC000334,Std,1350687600000,4.499,0.227,0.088
MAC000335,Std,1350687600000,8.268,0.427,0.099
MAC000337,Std,1350687600000,2.762,0.166,0.048
MAC000338,Std,1350687600000,13.79,1.233,0.183
MAC000340,Std,1350687600000,10.14,0.973,0.138
MAC000341,Std,1350687600000,9.905,0.951,0.183
MAC000343,Std,1350687600000,13.091,1.387,0.165
MAC000345,Std,1350687600000,9.183,0.726,0.134
MAC000346,Std,1350687600000,7.87,0.62,0.118
MAC000347,Std,1350687600000,5.346,0.349,0.082
MAC000348,Std,1350687600000,4.998,0.475,0.097
MAC000349,Std,1350687600000,8.0840001,1.0140001,0.099
MAC000350,Std,1350687600000,8.025,1.475,0.136
MAC000351,Std,1350687600000,8.652,0.913,0.096
MAC000353,Std,1350687600000,6.078,0.782,0.086
MAC000355,Std,1350687600000,12.207,0.915,0.141
MAC000356,Std,1350687600000,14.99,1.42,0.171
MAC000357,Std,1350687600000,13.98,0.532,0.256
MAC000358,Std,1350687600000,44.3849997,2.4549999,0.698
MAC000359,Std,1350687600000,11.061,0.935,0.171
MAC000360,Std,1350687600000,12.401,0.758,0.187
MAC000361,Std,1350687600000,11.049,1.183,0.193
MAC000362,Std,1350687600000,3.7,0.231,0.059
MAC000363,Std,1350687600000,5.027,0.858,0.062
MAC004268,Std,1350687600000,3.713,0.388,0.067
MAC004269,Std,1350687600000,9.69,0.447,0.168
MAC004271,Std,1350687600000,10.76,0.471,0.142
MAC004272,Std,1350687600000,9.653,1.108,0.081
MAC004273,Std,1350687600000,7.699,0.956,0.106
MAC004274,Std,1350687600000,4.435,0.391,0.063
MAC004275,Std,1350687600000,15.414,1.594,0.221
MAC004276,Std,1350687600000,6.408,0.195,0.133
MAC004277,Std,1350687600000,8.173,0.365,0.153
MAC004278,Std,1350687600000,8.457,0.654,0.13
MAC004279,Std,1350687600000,6.643,0.597,0.088
MAC004280,Std,1350687600000,23.888,1.605,0.401
MAC004281,Std,1350687600000,6.498,0.353,0.106
MAC000002,Std,1350774000000,24.4900001,2.1600001,0.385
MAC000003,Std,1350774000000,20.247,2.234,0.1695
MAC000004,Std,1350774000000,1.671,0.217,0
MAC000006,Std,1350774000000,2.857,0.187,0.055
MAC000007,Std,1350774000000,10.585,1.775,0.138
MAC000008,Std,1350774000000,19.993,1.102,0.313
MAC000009,Std,1350774000000,9.075,1.296,0.167
MAC000010,Std,1350774000000,25.253,2.391,0.277
MAC000012,Std,1350774000000,1.137,0.055,0.0195
MAC000013,Std,1350774000000,6.571,0.301,0.121
MAC000016,Std,1350774000000,0.147,0.01,0
MAC000018,Std,1350774000000,10.729,0.69,0.134
MAC000019,Std,1350774000000,3.455,0.131,0.079
MAC000020,Std,1350774000000,7.866,0.778,0.105
MAC000021,Std,1350774000000,19.96,0.866,0.396
MAC000022,Std,1350774000000,11.216,0.866,0.188
MAC000023,Std,1350774000000,20.806,1.623,0.393
MAC000024,Std,1350774000000,21.9839998,3.2539999,0.163
MAC000025,Std,1350774000000,3.928,1.228,0.025
MAC000026,Std,1350774000000,11.696,0.7,0.181
MAC000027,Std,1350774000000,11.224,0.555,0.223
MAC000028,Std,1350774000000,6.416,0.288,0.1185
MAC000029,Std,1350774000000,5.676,1.472,0.0555
MAC000030,Std,1350774000000,21.236,1.775,0.375
MAC000032,Std,1350774000000,8.926,0.793,0.1855
MAC000033,Std,1350774000000,7.142,0.402,0.1345
MAC000034,Std,1350774000000,6.466,0.29,0.1115
MAC000035,Std,1350774000000,34.5550004,2.1830001,0.6085
MAC000036,Std,1350774000000,2.438,0.234,0.04
MAC000037,Std,1350774000000,0.011,0.007,0
MAC000038,Std,1350774000000,17.651,1.943,0.249
MAC000039,Std,1350774000000,13.045,1.771,0.112
MAC000040,Std,1350774000000,16.347,0.587,0.3245
MAC000041,Std,1350774000000,10.983,0.684,0.179
MAC000042,Std,1350774000000,11.245,1.546,0.1165
MAC000043,Std,1350774000000,3.522,0.235,0.0505
MAC000045,Std,1350774000000,31.4470002,2.4779999,0.4935
MAC000047,Std,1350774000000,5.989,0.249,0.1395
MAC000049,Std,1350774000000,55.5599995,3.892,0.8165
MAC000050,Std,1350774000000,29.648,1.982,0.5935
MAC000053,Std,1350774000000,8.99,0.727,0.084
MAC000054,Std,1350774000000,10.748,0.685,0.2345
MAC000055,Std,1350774000000,7.8,0.603,0.1365
MAC000056,Std,1350774000000,6.386,0.357,0.1415
MAC000057,Std,1350774000000,9.32,0.532,0.182
MAC000058,Std,1350774000000,2.397,0.224,0.0325
MAC000059,Std,1350774000000,15.076,0.527,0.281
MAC000060,Std,1350774000000,9.413,0.679,0.1235
MAC000061,Std,1350774000000,4.92,0.376,0.0575
MAC000062,Std,1350774000000,14.568,1.028,0.286
MAC000063,Std,1350774000000,13.258,0.997,0.189
MAC000066,Std,1350774000000,2.423,0.066,0.05
MAC000067,Std,1350774000000,10.225,0.5,0.1945
MAC000068,Std,1350774000000,19.095,1.477,0.344
MAC000069,Std,1350774000000,7.97,0.27,0.169
MAC000326,Std,1350774000000,2.92,0.224,0.064
MAC000327,Std,1350774000000,15.6690001,1.232,0.2015
MAC000329,Std,1350774000000,10.139,1.038,0.1965
MAC000330,Std,1350774000000,6.282,0.311,0.124
MAC000331,Std,1350774000000,16.2020001,2.783,0.1205
MAC000332,Std,1350774000000,8.248,0.587,0.119
MAC000333,Std,1350774000000,4.379,0.284,0.0835
MAC000334,Std,1350774000000,5.228,0.559,0.091
MAC000335,Std,1350774000000,7.779,0.497,0.104
MAC000337,Std,1350774000000,3.07,0.179,0.07
MAC000338,Std,1350774000000,12.2920001,1.1210001,0.2035
MAC000340,Std,1350774000000,7.234,0.614,0.118
MAC000341,Std,1350774000000,13.4630001,1.197,0.1925
MAC000343,Std,1350774000000,5.066,0.453,0.093
MAC000345,Std,1350774000000,16.31,1.312,0.189
MAC000346,Std,1350774000000,14.6,1.341,0.2045
MAC000347,Std,1350774000000,6.024,0.462,0.0845
MAC000348,Std,1350774000000,5.487,0.315,0.101
MAC000349,Std,1350774000000,18.1559999,1.475,0.242
MAC000350,Std,1350774000000,8.271,1.351,0.1475
MAC000351,Std,1350774000000,6.483,0.639,0.0915
MAC000353,Std,1350774000000,6.681,0.535,0.112
MAC000355,Std,1350774000000,10.975,0.627,0.137
MAC000356,Std,1350774000000,9.877,1.098,0.1335
MAC000357,Std,1350774000000,14.81,1.591,0.253
MAC000358,Std,1350774000000,67.9030002,4.1960001,1.3555
MAC000359,Std,1350774000000,19.562,1.752,0.176
MAC000360,Std,1350774000000,12.995,0.946,0.1755
MAC000361,Std,1350774000000,10.817,1.127,0.125
MAC000362,Std,1350774000000,5.455,0.744,0.0745
MAC000363,Std,1350774000000,2.958,0.329,0.0545
MAC004268,Std,1350774000000,2.599,0.098,0.05
MAC004269,Std,1350774000000,11.241,0.992,0.164
MAC004271,Std,1350774000000,14.9770001,1.2970001,0.1505
MAC004272,Std,1350774000000,10.972,0.995,0.205
MAC004273,Std,1350774000000,7.875,0.889,0.1235
MAC004274,Std,1350774000000,3.906,0.31,0.062
MAC004275,Std,1350774000000,11.973,1.099,0.217
MAC004276,Std,1350774000000,7.723,0.767,0.1295
MAC004277,Std,1350774000000,7.563,0.35,0.136
MAC004278,Std,1350774000000,5.618,0.439,0.1045
MAC004279,Std,1350774000000,9.328,0.941,0.12
MAC004280,Std,1350774000000,23.115,1.992,0.344
MAC004281,Std,1350774000000,6.931,0.539,0.1315
