LCLid,stdorToU,timestamp,KWH_day,KWH_max_30min,KWH_median_30min
MAC000022,Std,1350082800000,8.71,0.86,0.1535
MAC000023,Std,1350082800000,16.1820001,1.354,0.2525
MAC000024,Std,1350082800000,11.311,1.67,0.1485
MAC000025,Std,1350082800000,4.4679999,1.2869999,0.027
MAC000026,Std,1350082800000,9.325,0.654,0.153
MAC000027,Std,1350082800000,9.89,0.685,0.1805
MAC000028,Std,1350082800000,5.674,0.25,0.1
MAC000029,Std,1350082800000,2.03,0.081,0.047
MAC000030,Std,1350082800000,20.13,2.3050001,0.136
MAC000032,Std,1350082800000,6.857,0.577,0.1235
MAC000033,Std,1350082800000,6.048,0.296,0.12
MAC000034,Std,1350082800000,5.565,0.267,0.112
MAC000035,Std,1350082800000,21.3049999,1.355,0.374
MAC000036,Std,1350082800000,3.236,0.244,0.0495
MAC000037,Std,1350082800000,0,0,0
MAC000038,Std,1350082800000,7.918,0.458,0.1255
MAC000039,Std,1350082800000,6.048,0.395,0.0975
MAC000040,Std,1350082800000,15.541,1.005,0.258
MAC000041,Std,1350082800000,9.194,0.833,0.151
MAC000042,Std,1350082800000,10.29,0.708,0.1945
MAC000043,Std,1350082800000,2.81,0.15,0.048
MAC000045,Std,1350082800000,23.6720001,1.619,0.2235
MAC000047,Std,1350082800000,5.199,0.277,0.0885
MAC000049,Std,1350082800000,41.4999998,3.4749999,0.6275
MAC000050,Std,1350082800000,27.309,1.722,0.395
MAC000053,Std,1350082800000,5.136,0.401,0.0805
MAC000054,Std,1350082800000,10.245,0.526,0.218
MAC000055,Std,1350082800000,9.486,0.567,0.1415
MAC000056,Std,1350082800000,7.433,0.488,0.149
MAC000057,Std,1350082800000,10.694,1.288,0.183
MAC000058,Std,1350082800000,3.297,0.327,0.059
MAC000059,Std,1350082800000,15.507,0.721,0.2565
MAC000060,Std,1350082800000,12.251,0.885,0.1645
MAC000061,Std,1350082800000,6.223,0.621,0.099
MAC000062,Std,1350082800000,10.681,0.598,0.187
MAC000063,Std,1350082800000,13.511,0.87,0.207
MAC000066,Std,1350082800000,7.515,0.27,0.154
MAC000067,Std,1350082800000,10.303,0.629,0.2105
MAC000068,Std,1350082800000,19.792,1.322,0.3965
MAC000069,Std,1350082800000,5.707,0.201,0.118
MAC000326,Std,1350082800000,10.377,1.163,0.0875
MAC000327,Std,1350082800000,33.1379999,1.587,0.651
MAC000329,Std,1350082800000,9.386,0.756,0.1945
MAC000330,Std,1350082800000,5.978,0.253,0.1215
MAC000331,Std,1350082800000,11.457,1.585,0.1165
MAC000332,Std,1350082800000,8.819,0.923,0.152
MAC000333,Std,1350082800000,3.958,0.222,0.0635
MAC000334,Std,1350082800000,4.65,0.239,0.0885
MAC000335,Std,1350082800000,6.7,0.374,0.0925
MAC000337,Std,1350082800000,2.996,0.182,0.055
MAC000338,Std,1350082800000,10.816,0.71,0.185
MAC000340,Std,1350082800000,7.832,0.526,0.132
MAC000341,Std,1350082800000,10.435,1.08,0.168
MAC000343,Std,1350082800000,5.435,0.49,0.0855
MAC000345,Std,1350082800000,13.7909999,1.5369999,0.1355
MAC000346,Std,1350082800000,4.289,0.128,0.086
MAC000347,Std,1350082800000,6.449,0.579,0.116
MAC000348,Std,1350082800000,5.356,0.431,0.1005
MAC000349,Std,1350082800000,2.301,0.076,0.038
MAC000350,Std,1350082800000,9.869,1.027,0.1485
MAC000351,Std,1350082800000,3.929,0.308,0.064
MAC000353,Std,1350082800000,2.886,0.254,0.0535
MAC000355,Std,1350082800000,5.283,0.175,0.109
MAC000356,Std,1350082800000,15.869,1.2359999,0.2055
MAC000357,Std,1350082800000,15.918,1.515,0.183
MAC000358,Std,1350082800000,41.839,2.063,0.684
MAC000359,Std,1350082800000,17.811,1.11,0.254
MAC000360,Std,1350082800000,5.767,0.344,0.103
MAC000361,Std,1350082800000,8.084,1.098,0.0585
MAC000362,Std,1350082800000,3.484,0.178,0.059
MAC000363,Std,1350082800000,3.302,0.494,0.0395
MAC004268,Std,1350082800000,5.216,0.466,0.072
MAC004269,Std,1350082800000,10.932,0.622,0.1765
MAC004271,Std,1350082800000,13.368,0.576,0.2755
MAC004272,Std,1350082800000,5.292,0.292,0.0935
MAC004273,Std,1350082800000,4.996,0.811,0.081
MAC004274,Std,1350082800000,4.472,0.327,0.0625
MAC004275,Std,1350082800000,15.782,1.711,0.244
MAC004276,Std,1350082800000,19.733,1.34,0.362
MAC004277,Std,1350082800000,8.902,0.782,0.1445
MAC004278,Std,1350082800000,9.621,0.835,0.1015
MAC004279,Std,1350082800000,10.424,0.892,0.16
MAC004280,Std,1350082800000,36.7360002,1.9960001,0.5585
MAC004281,Std,1350082800000,6.187,0.312,0.1265
